6lw	Hydra Bow
7bk	Winged Knife
7cr	Phase Blade
7gd	Colossus Blade
7vo	Colossus Voulge
Accursed	Cursing
Acrobat's	Acrobatic
AmaOnly	(Amazon Only)
Amber	Amber
Ambergris	Ambergris
Angel's	Angel's
Antimagic	Antimagic
Arcadian	Arcadian
Arch-Angel's	Arch-Angel's
Archer's	Archer's
Arcing	Arcing
Argent	Argent
Artificer's	Artisan's
AssOnly	(Assassin Only)
Assamic	Lunar
Astral	Astral
Athlete's	Athletic
Aureolin	Aureolic
Azure	Azure
Bahamut's	Bahamut's
BarOnly	(Barbarian Only)
Berserker's	Berserker's
Beryl	Beryl
Blanched	Blanched
Blank	Void
Blazing	Blazing
Blessed	Blessed
Blighting	Blighting
Bloody	Bloody
Bone	Bone
Boreal	Boreal
Bowyer's	Bowyer's
Bright	Bright
Bronze	Bronze
Brown	Brown
Brutal	Brutal
Burgundy	Burgundy
Burly	Burly
Burning	Burning
Buzzing	Buzzing
Calling	Calling
Camphor	Camphor
Captain's	Captain's
Carbuncle	Carbuncle
Caretaker's	Caretaker's
Carmine	Carmine
Celestial	Celestial
Charged	Charged
Chestnut	Chestnut
Chilling	Chilling
Chromatic	Chromatic
Cinnabar	Cinnabar
Civerb's Cudgel	Civerb's Cudgel
Civerb's Icon	Civerb's Icon
Civerb's Vestments	Civerb's Vestments
Civerb's Ward	Civerb's Ward
Cobalt	Cobalt
Commander's	Commander's
Communal	Communal
Compact	Compact
Consecrated	Consecrated
Coral	Coral
Corosive	Corrosive
Crimson	Crimson
Cruel	Cruel
Cunning	Cunning
Deadly	Deadly
Dense	Dense
Devious	Devious
Diamond	Diamond
Divine	Divine
Dragon's	Dragon's
Drake's	Drake's
DruOnly	(Druid Only)
Dun	Dun
Eagleeye	Eagleeye
Eburin	Eburine
Echoing	Echoing
Elysian	Elysian
Ember	Fiery
Emerald	Emerald
Entrapping	Entrapping
Envenomed	Foul
Eocene	Righteous
Expert's	Expert's
Falconeye	Falconeye
Fanatic	Fanatic
Felicitous	Felicitous
Feral	Feral
Ferocious	Ferocious
Fine	Fine
Flaming	Flaming
Fletcher's	Fletcher's
Forked	Forked
Fortified	Fortified
Fortuitous	Fortuitous
Freezing	Freezing
Fungal	Fungal
Furious	Furious
Gaea's	Gaean
Garnet	Garnet
Glacial	Glacial
Glimmering	Glimmering
Glorious	Glorious
Glowing	Glowing
Godly	Godly
Gold	Gold
Golemlord's	Golemlord's
Grandmaster's	Grandmaster's
Graverobber's	Graverobber's
Great Wyrm's	Great Wyrm's
Gritty	Grinding
Guardian's	Guardian's
Gymnast's	Gymnastic
Hallowed	Hallowed
Harpoonist's	Harpoonist's
Hawk Branded	Hawk Branded
Hawkeye	Hawkeye
Hexing	Hexing
Hibernal	Hibernal
Hierophant's	Hierophant's
Hiquality	Superior
Holy	Holy
Howling	Howling
Iron	Iron
ItemExpansiveChanc1	%d%% Chance to cast level %d %s on striking
ItemExpansiveChanc2	%d%% Chance to cast level %d %s when struck
ItemExpansiveChancX	%d%% Chance to cast level %d %s on attack
ItemStast1k	to
ItemStats1d	Durability:
ItemStats1e	Required Strength:
ItemStats1f	Required Dexterity:
ItemStats1h	Defense:
ItemStats1l	One-Hand Damage:
ItemStats1m	Two-Hand Damage:
ItemStats1n	Throw Damage:
ItemStats1p	Required Level:
Ivory	Ivory
Jacinth	Jacinth
Jack's	Jack's
Jade	Jade
Jagged	Jagged
Jester's	Jester's
Jeweler's	Jeweler's
Joker's	Joker's
Keeper's	Keeper's
Kenshi's	Kenshi's
King's	King's
Knave's	Knave's
Knight's	Knight's
Lancer's	Lancer's
Lapis	Lapis
Lapis Lazuli	Lapis Lazuli
Lion Branded	Lion Branded
Lizard's	Lizard's
Lord's	Lord's
Loud	Alarming
Low Quality	Low Quality
Lucky	Lucky
Magekiller's	Magekiller's
Maiden's	Maiden's
Maroon	Maroon
Marshal's	Marshal's
Massive	Massive
Master's	Master's
Mechanist's	Mechanic's
Mentalist's	Mentalist's
Merciless	Merciless
Meteoric	Meteoric
Miocene	Enlightened
Mnemonic	Mnemonic
ModStr1a	to Strength
ModStr1b	to Dexterity
ModStr1c	to Vitality
ModStr1d	to Energy
ModStr1e	to Mana
ModStr1f	to Maximum Damage
ModStr1g	to Minimum Damage
ModStr1h	to Attack Rating
ModStr1i	Defense
ModStr1j	Fire Resist
ModStr1k	Cold Resist
ModStr1l	Lightning Resist
ModStr1m	Magic Resist
ModStr1n	Poison Resist
ModStr1o	to Maximum Fire Damage
ModStr1p	to Minimum Fire Damage
ModStr1q	to Maximum Lightning Damage
ModStr1r	to Minimum Lightning Damage
ModStr1s	to Maximum Cold Damage
ModStr1t	to Minimum Cold Damage
ModStr1u	to Life
ModStr1v	Attacker Takes Damage of
ModStr1w	Extra Gold from Monsters
ModStr1x	Better Chance of Getting Magic Items
ModStr1y	Knockback
ModStr2g	Increase Maximum Life
ModStr2h	Increase Maximum Mana
ModStr2i	Increase Maximum Durability
ModStr2j	Enhanced Maximum Damage
ModStr2k	Enhanced Minimum Damage
ModStr2l	Replenish Life
ModStr2t	Magic Damage Reduced by
ModStr2u	Damage Reduced by
ModStr2w	Drain Life
ModStr2y	Mana stolen per hit
ModStr2z	Life stolen per hit
ModStr3a	to Amazon Skill Levels
ModStr3b	to Paladin Skill Levels
ModStr3c	to Necromancer Skill Levels
ModStr3d	to Sorceress Skill Levels
ModStr3e	to Barbarian Skill Levels
ModStr3f	to Light Radius
ModStr3g	Increased Chance of Blocking
ModStr3h	Requirements
ModStr3i	to Fire Skills
ModStr3j	Attacker Takes Lightning Damage of
ModStr3k	to All Skills
ModStr3l	Freezes target
ModStr3m	Chance of Open Wounds
ModStr3r	Poison Length Reduced by
ModStr3u	Hit Causes Monster to Flee
ModStr3v	Heal Stamina Plus
ModStr3w	Damage Taken Goes To Mana
ModStr3y	Ignore Target's Defense
ModStr4a	Prevent Monster Heal
ModStr4b	Half Freeze Duration
ModStr4c	Bonus to Attack Rating
ModStr4d	to Monster Defense Per Hit
ModStr4e	Damage to Demons
ModStr4f	Damage to Undead
ModStr4g	Regenerate Mana
ModStr4h	to Maximum Poison Damage
ModStr4i	to Minimum Poison Damage
ModStr4j	to Attack Rating against Demons
ModStr4k	to Attack Rating against Undead
ModStr4m	Increased Attack Speed
ModStr4p	Faster Hit Recovery
ModStr4s	Faster Run/Walk
ModStr4v	Faster Cast Rate
ModStr4y	Faster Block Rate
ModStr5a	Throwable
ModStr5b	Damage
ModStr5c	Chance of Crushing Blow
ModStr5d	Maximum Stamina
ModStr5e	Kick Damage
ModStr5f	to Mana after each Kill
ModStr5g	Fire Absorb
ModStr5h	Fire Absorb
ModStr5i	Lightning Absorb
ModStr5j	Lightning Absorb
ModStr5k	Magic Absorb
ModStr5l	Magic Absorb
ModStr5m	Cold Absorb
ModStr5n	Cold Absorb
ModStr5o	Target Defense
ModStr5q	Deadly Strike
ModStr5r	Slows Target by
ModStr5u	to Maximum Fire Resist
ModStr5v	to Maximum Cold Resist
ModStr5w	to Maximum Lightning Resist
ModStr5x	to Maximum Magic Resist
ModStr5y	to Maximum Poison Resist
ModStr5z	Cannot Be Frozen
ModStr6a	Defense vs. Missile
ModStr6b	Defense vs. Melee
ModStr6c	Life after each Demon Kill
ModStr6d	Hit Blinds Target
ModStr6e	Slower Stamina Drain
ModStr6g	Piercing Attack
ModStr6h	Fires Magic Arrows
ModStr6i	Fires Explosive Arrows or Bolts
ModStre10b	Level
ModStre10d	(%d/%d Charges)
ModStre8a	to Druid Skills
ModStre8b	to Assassin Skills
ModStre8c	 Sockets
ModStre9i	Increased Stack Size
ModStre9o	Absorbs Fire Damage
ModStre9p	Absorbs Cold Damage
ModStre9q	Absorbs Lightning Damage
ModStre9s	Indestructible
ModStre9t	Repairs %d durability per second
ModStre9v	Replenishes quantity
Moditem2ExpG	to Experience Gained
Moditem2allattrib	to all Attributes
ModitemAttratvsM	to Attack Rating versus
ModitemAura	Level %d %s Aura When Equipped
ModitemHPaK	Life after each Kill
ModitemRedVendP	Reduces all Vendor Prices
ModitemSMRIP	Slain Monsters Rest in Peace
ModitemdamColdsk	to Cold Skill Damage
ModitemdamFiresk	to Fire Skill Damage
ModitemdamLtngsk	to Lightning Skill Damage
ModitemdamPoissk	to Poison Skill Damage
Moditemdamvsm	to Damage versus
Moditemenrescoldsk	to Enemy Cold Resistance
Moditemenresfiresk	to Enemy Fire Resistance
Moditemenresltngsk	to Enemy Lightning Resistance
Moditemenrespoissk	to Enemy Poison Resistance
Moditemreanimas	Reanimate as:
ModitemskonKill	%d%% Chance to cast level %d %s when you Kill an Enemy
ModitemskonLevel	%d%% Chance to cast level %d %s when you Level-Up
Moditemskondeath	%d%% Chance to cast level %d %s when you Die
Modstr2v	Enhanced Defense
Monk's	Monk's
Nature's	Natural
NecOnly	(Necromancer Only)
Necromancer's	Necromancer's
Nickel	Nickel
Noxious	Noxious
Null	Null
Ocher	Ocher
Oligocene	Honorable
PalOnly	(Paladin Only)
Paleocene	Faithful
Paradox	Paradox
Pearl	Pearl
Pestilent	Pestilent
Platinum	Platinum
Powered	Powered
Preserver's	Preserver's
Priest's	Priest's
Prismatic	Prismatic
Psychic	Psychic
Pure	Pure
Raging	Raging
Rainbow	Rainbow
Realgar	Realgar
Red	Red
Resonant	Resonant
Robineye	Robineye
Rose Branded	Rose Branded
Ruby	Ruby
Rugged	Rugged
Runeword130	Spirit
Runeword131	Splendor
Runeword22	Delirium
Runeword33	Enigma
Runeword75	Lore
Russet	Russet
Rusty	Rusty
Sacred	Sacred
Saintly	Saintly
Sanguinary	Sanguinary
Sapphire	Sapphire
Savage	Savage
Scarlet	Scarlet
Scintillating	Scintillating
Scorching	Condensing
Screaming	Screaming
Sensei's	Sensei's
Septic	Septic
Serpent's	Serpent's
Serrated	Serrated
Shadow	Shadow
Shaman's	Shaman's
Sharp	Sharp
Shimmering	Shimmering
Shivering	Shivering
Shocking	Shocking
Shogukusha's	Shogukusha's
Shouting	Howling
Silver	Silver
Skillname222	Raven
Skillname223	Werewolf
Skillname224	Werewolf
Skillname225	Lycanthropy
Skillname226	Firestorm
Skillname227	Oak Sage
Skillname228	Summon Spirit Wolf
Skillname229	Werebear
Skillname230	Molten Boulder
Skillname231	Arctic Blast
Skillname232	Carrion Vine
Skillname233	Feral Rage
Skillname234	Maul
Skillname235	Fissure
Skillname236	Cyclone Armor
Skillname237	Heart of Wolverine
Skillname238	Summon Dire Wolf
Skillname239	Rabies
Skillname240	Fire Claws
Skillname241	Twister
Skillname242	Solar Creeper
Skillname243	Hunger
Skillname244	Shock Wave
Skillname245	Volcano
Skillname246	Tornado
Skillname247	Spirit of Barbs
Skillname248	Summon Grizzly
Skillname249	Fury
Skillname250	Armageddon
Skillname251	Hurricane
Skillname252	Fire Blast
Skillname253	Claw Mastery
Skillname254	Psychic Hammer
Skillname255	Tiger Strike
Skillname256	Dragon Talon
Skillname257	Shock Web
Skillname258	Blade Sentinel
Skillname259	Burst of Speed
Skillname260	Fists of Fire
Skillname261	Dragon Claw
Skillname262	Charged Bolt Sentry
Skillname263	Wake of Fire
Skillname264	Weapon Block
Skillname265	Cloak of Shadows
Skillname266	Cobra Strike
Skillname267	Blade Fury
Skillname268	Fade
Skillname269	Shadow Warrior
Skillname270	Claws of Thunder
Skillname271	Dragon Tail
Skillname272	Lightning Sentry
Skillname273	Wake of Inferno
Skillname274	Mind Blast
Skillname275	Blades of Ice
Skillname276	Dragon Flight
Skillname277	Death Sentry
Skillname278	Blade Shield
Skillname279	Venom
Skillname280	Shadow Master
Skillname281	Phoenix Strike
Slayer's	Slayer's
Smoking	Smoking
Smoldering	Smoldering
Snake's	Snake's
Snowflake	Snowy
Socketable	Socketed
Soldier's	Soldier's
SorOnly	(Sorceress Only)
Sounding	Sounding
Sparking	Sparking
Sparroweye	Sparroweye
Spearmaiden's	Spearmaiden's
Spiritual	Spiritual
Stalwart	Stalwart
Static	Static
Steel	Steel
Stout	Stout
StrSkill106	Attack Speed: 
StrSklTabItem1	+%d to Javelin and Spear Skills
StrSklTabItem10	+%d to Warcries
StrSklTabItem11	+%d to Combat Skills
StrSklTabItem12	+%d to Masteries
StrSklTabItem13	+%d to Cold Skills
StrSklTabItem14	+%d to Lightning Skills
StrSklTabItem15	+%d to Fire Skills
StrSklTabItem16	+%d to Summoning Skills
StrSklTabItem17	+%d to Shape Shifting Skills
StrSklTabItem18	+%d to Elemental Skills
StrSklTabItem19	+%d to Traps
StrSklTabItem2	+%d to Passive and Magic Skills
StrSklTabItem20	+%d to Shadow Disciplines
StrSklTabItem21	+%d to Martial Arts
StrSklTabItem3	+%d to Bow and Crossbow Skills
StrSklTabItem4	+%d to Defensive Auras
StrSklTabItem5	+%d to Offensive Auras
StrSklTabItem6	+%d to Summoning Skills
StrSklTabItem7	+%d to Poison and Bone Skills
StrSklTabItem8	+%d to Curses
StrSklTabItem9	+%d to Summoning Skills
Strange	Strange
Strong	Strong
Sturdy	Sturdy
Summoner's	Summoner's
Tal Rasha's Adjudication	Tal Rasha's Adjudication
Tal Rasha's Fire-Spun Cloth	Tal Rasha's Fine-Spun Cloth
Tal Rasha's Horadric Crest	Tal Rasha's Horadric Crest
Tal Rasha's Howling Wind	Tal Rasha's Guardianship
Tal Rasha's Lidless Eye	Tal Rasha's Lidless Eye
Tal Rasha's Wrappings	Tal Rasha's Wrappings
Tangerine	Tangerine
Terra's	Terrene
Thin	Thin
Tin	Tin
Tireless	Tireless
To The Moo Moo Farm	To The Secret Cow Level
To Tristram	To Tristram
Toxic	Toxic
Trainer's	Trainer's
Trickster's	Trickster's
Triumphant	Triumphant
Trump	Fool's
Turquoise	Turquoise
Unearthly	Unearthly
Valkyrie's	Valkyrie's
Venomous	Venomous
Vermillion	Vermilion
